x,y,z,yaw,pitch,roll
-0.70,-2.80,0.90,-119.07,14.94,1.50
-0.70,-2.80,0.90,24.93,-16.06,6.50
-0.70,-2.80,0.90,-11.07,7.94,-13.50
-0.70,-2.80,0.90,-11.07,-9.06,-3.50
-0.70,-2.80,0.90,24.93,-9.06,6.50
-0.70,-2.80,0.90,-11.07,0.94,1.50
-0.70,-2.80,0.90,96.93,14.94,-13.50
-0.70,-2.80,0.90,60.93,14.94,1.50
-0.70,-2.80,0.90,24.93,-9.06,-8.50
-0.70,-2.80,0.90,-155.07,-16.06,-3.50
-0.70,-2.80,0.90,-83.07,-9.06,-13.50
-0.70,-2.80,0.90,96.93,0.94,6.50
-0.70,-2.80,0.90,132.93,-16.06,1.50
-0.70,-2.80,0.90,96.93,-9.06,1.50
-0.70,-2.80,0.90,-155.07,-16.06,6.50
-0.70,-2.80,0.90,-47.07,-9.06,-3.50
-0.70,-2.80,0.90,-47.07,-9.06,-8.50
-0.70,-2.80,0.90,-47.07,0.94,-13.50
-0.70,-2.80,0.90,-119.07,14.94,-13.50
-0.70,-2.80,0.90,96.93,-9.06,-8.50
-0.70,-2.80,0.90,-11.07,0.94,-13.50
-0.70,-2.80,0.90,-119.07,7.94,11.50
-0.70,-2.80,0.90,-119.07,-9.06,-13.50
-0.70,-2.80,0.90,168.93,-16.06,-13.50
-0.70,-2.80,0.90,168.93,7.94,-13.50
-0.70,-2.80,0.90,96.93,14.94,-8.50
-0.70,-2.80,0.90,60.93,14.94,-13.50
-0.70,-2.80,0.90,-47.07,-16.06,-13.50
-0.70,-2.80,0.90,168.93,-9.06,-3.50
-0.70,-2.80,0.90,168.93,7.94,-8.50
-0.70,-2.80,0.90,-119.07,7.94,-3.50
-0.70,-2.80,0.90,-119.07,-16.06,-8.50
-0.70,-2.80,0.90,96.93,-16.06,6.50
-0.70,-2.80,0.90,-155.07,-9.06,1.50
-0.70,-2.80,0.90,-83.07,0.94,6.50
-0.70,-2.80,0.90,132.93,-9.06,1.50
-0.70,-2.80,0.90,-155.07,-16.06,-13.50
-0.70,-2.80,0.90,-119.07,0.94,6.50
-0.70,-2.80,0.90,-119.07,-9.06,-8.50
-0.70,-2.80,0.90,132.93,-9.06,6.50
-0.70,-2.80,0.90,132.93,7.94,1.50
-0.70,-2.80,0.90,168.93,7.94,-3.50
-0.70,-2.80,0.90,60.93,14.94,6.50
-0.70,-2.80,0.90,96.93,7.94,-13.50
-0.70,-2.80,0.90,-47.07,14.94,11.50
-0.70,-2.80,0.90,24.93,0.94,11.50
-0.70,-2.80,0.90,-83.07,14.94,-3.50
-0.70,-2.80,0.90,60.93,0.94,-3.50
-0.70,-2.80,0.90,24.93,7.94,1.50
-0.70,-2.80,0.90,-155.07,14.94,11.50
-0.70,-2.80,0.90,-155.07,14.94,-8.50
-0.70,-2.80,0.90,-47.07,0.94,-3.50
-0.70,-2.80,0.90,-83.07,-9.06,-3.50
-0.70,-2.80,0.90,-47.07,14.94,-3.50
-0.70,-2.80,0.90,-47.07,7.94,-8.50
-0.70,-2.80,0.90,96.93,-9.06,6.50
-0.70,-2.80,0.90,-83.07,7.94,-13.50
-0.70,-2.80,0.90,-11.07,0.94,11.50
-0.70,-2.80,0.90,-155.07,-9.06,11.50
-0.70,-2.80,0.90,-11.07,-9.06,-13.50
-0.70,-2.80,0.90,96.93,14.94,1.50
-0.70,-2.80,0.90,24.93,7.94,11.50
-0.70,-2.80,0.90,-47.07,14.94,1.50
-0.70,-2.80,0.90,24.93,0.94,6.50
-0.70,-2.80,0.90,-119.07,-9.06,-3.50
-0.70,-2.80,0.90,-47.07,-9.06,11.50
-0.70,-2.80,0.90,-83.07,-9.06,11.50
-0.70,-2.80,0.90,-83.07,-16.06,-8.50
-0.70,-2.80,0.90,-155.07,0.94,1.50
-0.70,-2.80,0.90,168.93,-16.06,6.50
-0.70,-2.80,0.90,-119.07,14.94,-8.50
-0.70,-2.80,0.90,96.93,7.94,-8.50
-0.70,-2.80,0.90,-155.07,-9.06,6.50
-0.70,-2.80,0.90,-155.07,0.94,11.50
-0.70,-2.80,0.90,-119.07,14.94,-3.50
-0.70,-2.80,0.90,96.93,14.94,-3.50
-0.70,-2.80,0.90,-155.07,-16.06,11.50
-0.70,-2.80,0.90,168.93,-9.06,6.50
-0.70,-2.80,0.90,60.93,14.94,-8.50
-0.70,-2.80,0.90,132.93,7.94,11.50
-0.70,-2.80,0.90,60.93,7.94,-8.50
-0.70,-2.80,0.90,24.93,-9.06,-13.50
-0.70,-2.80,0.90,132.93,14.94,1.50
-0.70,-2.80,0.90,60.93,14.94,-3.50
-0.70,-2.80,0.90,-83.07,14.94,11.50
-0.70,-2.80,0.90,-83.07,7.94,11.50
-0.70,-2.80,0.90,-11.07,14.94,11.50
-0.70,-2.80,0.90,60.93,7.94,-3.50
-0.70,-2.80,0.90,-11.07,7.94,11.50
-0.70,-2.80,0.90,96.93,-16.06,-3.50
-0.70,-2.80,0.90,-83.07,0.94,-3.50
-0.70,-2.80,0.90,132.93,0.94,-13.50
-0.70,-2.80,0.90,-83.07,0.94,1.50
-0.70,-2.80,0.90,24.93,14.94,-8.50
-0.70,-2.80,0.90,24.93,7.94,-8.50
-0.70,-2.80,0.90,132.93,14.94,-3.50
-0.70,-2.80,0.90,24.93,-16.06,-3.50
-0.70,-2.80,0.90,132.93,7.94,-8.50
-0.70,-2.80,0.90,-83.07,7.94,1.50
-0.70,-2.80,0.90,-119.07,-9.06,11.50
-0.70,-2.80,0.90,168.93,14.94,-3.50
-0.70,-2.80,0.90,-83.07,-16.06,1.50
-0.70,-2.80,0.90,60.93,-9.06,-3.50
-0.70,-2.80,0.90,60.93,-9.06,6.50
-0.70,-2.80,0.90,132.93,-16.06,-13.50
-0.70,-2.80,0.90,-47.07,14.94,-13.50
-0.70,-2.80,0.90,-11.07,7.94,6.50
-0.70,-2.80,0.90,60.93,-16.06,11.50
-0.70,-2.80,0.90,168.93,-16.06,-8.50
-0.70,-2.80,0.90,-155.07,-9.06,-3.50
-0.70,-2.80,0.90,132.93,7.94,-13.50
-0.70,-2.80,0.90,168.93,14.94,-8.50
-0.70,-2.80,0.90,-83.07,-16.06,11.50
-0.70,-2.80,0.90,132.93,14.94,-8.50
-0.70,-2.80,0.90,-83.07,14.94,6.50
-0.70,-2.80,0.90,-47.07,7.94,6.50
-0.70,-2.80,0.90,168.93,-16.06,1.50
-0.70,-2.80,0.90,-47.07,0.94,1.50
-0.70,-2.80,0.90,-155.07,7.94,1.50
-0.70,-2.80,0.90,96.93,0.94,-13.50
-0.70,-2.80,0.90,168.93,0.94,1.50
-0.70,-2.80,0.90,96.93,7.94,11.50
-0.70,-2.80,0.90,168.93,14.94,6.50
-0.70,-2.80,0.90,-119.07,0.94,-8.50
-0.70,-2.80,0.90,60.93,-16.06,6.50
-0.70,-2.80,0.90,96.93,-9.06,-13.50
-0.70,-2.80,0.90,96.93,-9.06,11.50
-0.70,-2.80,0.90,60.93,7.94,6.50
-0.70,-2.80,0.90,132.93,0.94,-3.50
-0.70,-2.80,0.90,24.93,14.94,-3.50
-0.70,-2.80,0.90,-155.07,0.94,-13.50
-0.70,-2.80,0.90,132.93,0.94,11.50
-0.70,-2.80,0.90,-119.07,-9.06,1.50
-0.70,-2.80,0.90,60.93,-16.06,1.50
-0.70,-2.80,0.90,132.93,14.94,11.50
-0.70,-2.80,0.90,-47.07,-16.06,-8.50
-0.70,-2.80,0.90,-11.07,0.94,6.50
-0.70,-2.80,0.90,132.93,7.94,6.50
-0.70,-2.80,0.90,96.93,-16.06,-13.50
-0.70,-2.80,0.90,-83.07,-9.06,1.50
-0.70,-2.80,0.90,-83.07,-9.06,6.50
-0.70,-2.80,0.90,-47.07,7.94,11.50
-0.70,-2.80,0.90,24.93,7.94,-3.50
-0.70,-2.80,0.90,24.93,7.94,6.50
-0.70,-2.80,0.90,60.93,-9.06,-8.50
-0.70,-2.80,0.90,24.93,0.94,-13.50
-0.70,-2.80,0.90,-11.07,-16.06,-3.50
-0.70,-2.80,0.90,24.93,-16.06,-13.50
-0.70,-2.80,0.90,96.93,-16.06,1.50
-0.70,-2.80,0.90,-11.07,-9.06,11.50
-0.70,-2.80,0.90,-83.07,0.94,-13.50
-0.70,-2.80,0.90,132.93,-16.06,6.50
-0.70,-2.80,0.90,-155.07,0.94,-3.50
-0.70,-2.80,0.90,-155.07,-9.06,-13.50
-0.70,-2.80,0.90,24.93,14.94,6.50
-0.70,-2.80,0.90,132.93,-16.06,-3.50
-0.70,-2.80,0.90,-155.07,7.94,-13.50
-0.70,-2.80,0.90,168.93,-9.06,-13.50
-0.70,-2.80,0.90,60.93,-16.06,-13.50
-0.70,-1.70,0.70,44.22,15.73,12.42
-0.70,-1.70,0.70,-171.78,-8.27,7.42
-0.70,-1.70,0.70,152.22,-15.27,7.42
-0.70,-1.70,0.70,152.22,-8.27,2.42
-0.70,-1.70,0.70,44.22,1.73,-7.58
-0.70,-1.70,0.70,152.22,8.73,2.42
-0.70,-1.70,0.70,-171.78,15.73,7.42
-0.70,-1.70,0.70,44.22,8.73,-2.58
-0.70,-1.70,0.70,-171.78,1.73,12.42
-0.70,-1.70,0.70,-171.78,15.73,-7.58
-0.70,-1.70,0.70,80.22,-8.27,2.42
-0.70,-1.70,0.70,-171.78,15.73,-2.58
-0.70,-1.70,0.70,-171.78,-8.27,-2.58
-0.70,-1.70,0.70,80.22,-15.27,-7.58
-0.70,-1.70,0.70,-99.78,-15.27,2.42
-0.70,-1.70,0.70,152.22,8.73,-2.58
-0.70,-1.70,0.70,-135.78,-15.27,7.42
-0.70,-1.70,0.70,116.22,-15.27,-12.58
-0.70,-1.70,0.70,116.22,8.73,-12.58
-0.70,-1.70,0.70,-171.78,8.73,2.42
-0.70,-1.70,0.70,8.22,1.73,7.42
-0.70,-1.70,0.70,44.22,1.73,7.42
-0.70,-1.70,0.70,116.22,-15.27,12.42
-0.70,-1.70,0.70,-135.78,15.73,7.42
-0.70,-1.70,0.70,44.22,1.73,12.42
-0.70,-1.70,0.70,116.22,-8.27,-2.58
-0.70,-1.70,0.70,-27.78,1.73,-2.58
-0.70,-1.70,0.70,-135.78,8.73,-2.58
-0.70,-1.70,0.70,44.22,1.73,2.42
-0.70,-1.70,0.70,116.22,-15.27,7.42
-0.70,-1.70,0.70,-99.78,8.73,-12.58
-0.70,-1.70,0.70,-171.78,-15.27,-7.58
-0.70,-1.70,0.70,-27.78,8.73,-12.58
-0.70,-1.70,0.70,8.22,15.73,7.42
-0.70,-1.70,0.70,-135.78,15.73,2.42
-0.70,-1.70,0.70,-27.78,8.73,-7.58
-0.70,-1.70,0.70,8.22,-8.27,-2.58
-0.70,-1.70,0.70,80.22,8.73,-2.58
-0.70,-1.70,0.70,8.22,15.73,2.42
-0.70,-1.70,0.70,-135.78,-8.27,7.42
-0.70,-1.70,0.70,-27.78,-8.27,-12.58
-0.70,-1.70,0.70,-135.78,15.73,12.42
-0.70,-1.70,0.70,-27.78,1.73,-7.58
-0.70,-1.70,0.70,8.22,8.73,-2.58
-0.70,-1.70,0.70,-135.78,-8.27,2.42
-0.70,-1.70,0.70,80.22,15.73,2.42
-0.70,-1.70,0.70,-135.78,-8.27,12.42
-0.70,-1.70,0.70,-27.78,-15.27,-2.58
-0.70,-1.70,0.70,-99.78,-8.27,-2.58
-0.70,-1.70,0.70,8.22,-15.27,7.42
-0.70,-1.70,0.70,116.22,8.73,2.42
-0.70,-1.70,0.70,-63.78,8.73,-7.58
-0.70,-1.70,0.70,-135.78,1.73,12.42
-0.70,-1.70,0.70,8.22,8.73,2.42
-0.70,-1.70,0.70,-27.78,-8.27,-2.58
-0.70,-1.70,0.70,152.22,8.73,7.42
-0.70,-1.70,0.70,-135.78,-15.27,12.42
-0.70,-1.70,0.70,-99.78,-8.27,-12.58
-0.70,-1.70,0.70,-63.78,-15.27,-12.58
-0.70,-1.70,0.70,-63.78,15.73,-2.58
-0.70,-1.70,0.70,-99.78,8.73,2.42
-0.70,-1.70,0.70,-99.78,-15.27,7.42
-0.70,-1.70,0.70,-99.78,15.73,12.42
-0.70,-1.70,0.70,152.22,-15.27,-12.58
-0.70,-1.70,0.70,-63.78,8.73,-12.58
-0.70,-1.70,0.70,-171.78,-8.27,12.42
-0.70,-1.70,0.70,152.22,-8.27,12.42
-0.70,-1.70,0.70,44.22,-15.27,-7.58
-0.70,-1.70,0.70,-27.78,8.73,2.42
-0.70,-1.70,0.70,-27.78,1.73,2.42
-0.70,-1.70,0.70,-171.78,-15.27,7.42
-0.70,-1.70,0.70,152.22,15.73,-12.58
-0.70,-1.70,0.70,-99.78,15.73,-7.58
-0.70,-1.70,0.70,152.22,1.73,-2.58
-0.70,-1.70,0.70,-135.78,1.73,7.42
-0.70,-1.70,0.70,-99.78,-8.27,2.42
-0.70,-1.70,0.70,-63.78,15.73,-7.58
-0.70,-1.70,0.70,80.22,1.73,12.42
-0.70,-1.70,0.70,-171.78,8.73,-12.58
-0.70,-1.70,0.70,8.22,-8.27,12.42
-0.70,-1.70,0.70,8.22,-15.27,-2.58
-0.70,-1.70,0.70,152.22,-8.27,-2.58
-0.70,-1.70,0.70,-27.78,-15.27,-7.58
-0.70,-1.70,0.70,44.22,8.73,2.42
-0.70,-1.70,0.70,116.22,1.73,7.42
-0.70,-1.70,0.70,-135.78,-15.27,-2.58
-0.70,-1.70,0.70,-27.78,-15.27,2.42
-0.70,-1.70,0.70,-63.78,1.73,-12.58
-0.70,-1.70,0.70,-27.78,-8.27,-7.58
-0.70,-1.70,0.70,152.22,8.73,-12.58
-0.70,-1.70,0.70,-27.78,1.73,7.42
-0.70,-1.70,0.70,-63.78,-15.27,2.42
-0.70,-1.70,0.70,-27.78,8.73,12.42
-0.70,-1.70,0.70,8.22,-15.27,-7.58
-0.70,-1.70,0.70,-135.78,-15.27,-7.58
-0.70,-1.70,0.70,-63.78,1.73,-2.58
-0.70,-1.70,0.70,152.22,-8.27,-7.58
-0.70,-1.70,0.70,152.22,1.73,12.42
-0.70,-1.70,0.70,44.22,8.73,-12.58
-0.70,-1.70,0.70,-135.78,8.73,12.42
-0.70,-1.70,0.70,152.22,-15.27,-2.58
-0.70,-1.70,0.70,-63.78,-8.27,-2.58
-0.70,-1.70,0.70,-171.78,1.73,2.42
-0.70,-1.70,0.70,44.22,-8.27,-2.58
-0.70,-1.70,0.70,-99.78,-15.27,-12.58
-0.70,-1.70,0.70,-27.78,8.73,-2.58
-0.70,-1.70,0.70,-99.78,1.73,-12.58
-0.70,-1.70,0.70,152.22,-8.27,7.42
-0.70,-1.70,0.70,-63.78,15.73,12.42
-0.70,-1.70,0.70,44.22,-15.27,12.42
-0.70,-1.70,0.70,44.22,-8.27,7.42
-0.70,-1.70,0.70,-99.78,15.73,-2.58
-0.70,-1.70,0.70,80.22,8.73,12.42
-0.70,-1.70,0.70,152.22,15.73,12.42
-0.70,-1.70,0.70,152.22,15.73,-2.58
-0.70,-1.70,0.70,-135.78,15.73,-2.58
-0.70,-1.70,0.70,152.22,8.73,-7.58
-0.70,-1.70,0.70,-63.78,15.73,2.42
-0.70,-1.70,0.70,-63.78,-8.27,-12.58
-0.70,-1.70,0.70,-63.78,-8.27,-7.58
-0.70,-1.70,0.70,-135.78,1.73,-7.58
-0.70,-1.70,0.70,-63.78,15.73,-12.58
-0.70,-1.70,0.70,-63.78,-8.27,2.42
-0.70,-1.70,0.70,116.22,15.73,12.42
-0.70,-1.70,0.70,44.22,8.73,-7.58
-0.70,-1.70,0.70,-99.78,-15.27,12.42
-0.70,-1.70,0.70,-27.78,15.73,2.42
-0.70,-1.70,0.70,-171.78,8.73,7.42
-0.70,-1.70,0.70,80.22,-8.27,12.42
-0.70,-1.70,0.70,-99.78,1.73,12.42
-0.70,-1.70,0.70,116.22,-15.27,2.42
-0.70,-1.70,0.70,44.22,-8.27,-12.58
-0.70,-1.70,0.70,8.22,1.73,2.42
-0.70,-1.70,0.70,116.22,-15.27,-2.58
-0.70,-1.70,0.70,-99.78,-8.27,-7.58
-0.70,-1.70,0.70,80.22,-15.27,-12.58
-0.70,-1.70,0.70,-27.78,-15.27,12.42
-0.70,-1.70,0.70,-171.78,1.73,7.42
-0.70,-1.70,0.70,116.22,-8.27,7.42
-0.70,-1.70,0.70,-63.78,8.73,2.42
-0.70,-1.70,0.70,-135.78,15.73,-12.58
-0.70,-1.70,0.70,-27.78,1.73,12.42
-0.70,-1.70,0.70,-171.78,15.73,-12.58
-0.70,-1.70,0.70,116.22,15.73,2.42
-0.70,-1.70,0.70,116.22,-15.27,-7.58
-0.70,-1.70,0.70,-99.78,8.73,-7.58
-0.70,-1.70,0.70,-135.78,1.73,-2.58
-0.70,-1.70,0.70,116.22,-8.27,12.42
-0.70,-1.70,0.70,152.22,-8.27,-12.58
-0.70,-1.70,0.70,80.22,8.73,2.42
-0.70,-1.70,0.70,80.22,8.73,-7.58
-0.70,-1.70,0.70,-27.78,15.73,-7.58
-0.70,-1.70,0.70,-99.78,1.73,2.42
-0.70,-1.70,0.70,152.22,8.73,12.42
-0.70,-1.70,0.70,44.22,1.73,-12.58
-0.70,-1.70,0.70,-171.78,15.73,2.42
-0.70,-1.70,0.70,8.22,8.73,12.42
-0.70,-1.70,0.70,8.22,8.73,-12.58
-0.70,-1.70,0.70,-99.78,1.73,-7.58
-0.70,-1.70,0.70,-63.78,1.73,-7.58
-0.70,-1.70,0.70,-171.78,-8.27,-12.58
-0.70,-1.70,0.70,152.22,1.73,2.42
-0.70,-1.70,0.70,-171.78,1.73,-7.58
-0.70,-1.70,0.70,-99.78,8.73,12.42
-0.70,-1.70,0.70,8.22,-15.27,-12.58
-0.70,-1.70,0.70,116.22,1.73,2.42
-0.70,-1.70,0.70,-135.78,-8.27,-12.58
-0.70,-1.70,0.70,80.22,1.73,-2.58
-0.70,-1.70,0.70,-27.78,-8.27,2.42
-0.70,-1.70,0.70,-63.78,-15.27,7.42
-0.70,-1.70,0.70,-99.78,1.73,7.42
-0.70,-1.70,0.70,44.22,1.73,-2.58
-0.70,-1.70,0.70,80.22,15.73,7.42
-0.70,-1.70,0.70,-171.78,15.73,12.42
-0.70,-1.70,0.70,152.22,15.73,-7.58
-0.70,-1.70,0.70,44.22,15.73,7.42
-0.70,-1.70,0.70,-171.78,-8.27,-7.58
-0.70,-1.70,0.70,-99.78,-8.27,12.42
-0.70,-1.70,0.70,-63.78,8.73,12.42
-0.70,-1.70,0.70,80.22,-8.27,-12.58
-0.70,-1.70,0.70,-63.78,-15.27,-2.58
-0.70,-1.70,0.70,80.22,-15.27,12.42
-0.70,-1.70,0.70,44.22,8.73,12.42
-0.70,-1.70,0.70,-171.78,-15.27,12.42
-0.70,-1.70,0.70,80.22,1.73,-7.58
-0.70,-1.70,0.70,116.22,1.73,-12.58
-0.70,-1.70,0.70,-27.78,-15.27,-12.58
-0.70,-1.70,0.70,-135.78,8.73,-7.58
-0.70,-1.70,0.70,116.22,15.73,-12.58
-0.70,-1.70,0.70,-63.78,1.73,12.42
-0.70,-1.70,0.70,-99.78,-8.27,7.42
-0.70,-1.70,0.70,-171.78,8.73,-2.58
-0.70,-1.70,0.70,80.22,-15.27,7.42
-0.70,-1.70,0.70,44.22,15.73,2.42
-0.70,-1.70,0.70,116.22,15.73,-7.58
-0.70,-1.70,0.70,-27.78,15.73,-12.58
-0.70,-1.70,0.70,116.22,8.73,7.42
-0.70,-1.70,0.70,152.22,1.73,-7.58
-0.70,-1.70,0.70,-27.78,15.73,12.42
-0.70,-1.70,0.70,8.22,-8.27,-7.58
-0.70,-1.30,1.20,-55.84,-8.89,-14.10
-0.70,-1.30,1.20,-163.84,8.11,-9.10
-0.70,-1.30,1.20,160.16,8.11,-14.10
-0.70,-1.30,1.20,-163.84,15.11,5.90
-0.70,-1.30,1.20,-91.84,-15.89,-4.10
-0.70,-1.30,1.20,-19.84,-8.89,5.90
-0.70,-1.30,1.20,52.16,-15.89,10.90
-0.70,-1.30,1.20,-55.84,1.11,-4.10
-0.70,-1.30,1.20,-91.84,15.11,5.90
-0.70,-1.30,1.20,160.16,8.11,10.90
-0.70,-1.30,1.20,52.16,-8.89,-4.10
-0.70,-1.30,1.20,52.16,1.11,0.90
-0.70,-1.30,1.20,-127.84,8.11,5.90
-0.70,-1.30,1.20,-91.84,1.11,0.90
-0.70,-1.30,1.20,52.16,15.11,5.90
-0.70,-1.30,1.20,-127.84,-15.89,0.90
-0.70,-1.30,1.20,88.16,1.11,-14.10
-0.70,-1.30,1.20,-19.84,-15.89,5.90
-0.70,-1.30,1.20,88.16,-8.89,5.90
-0.70,-1.30,1.20,-127.84,-8.89,10.90
-0.70,-1.30,1.20,124.16,15.11,-9.10
-0.70,-1.30,1.20,-91.84,8.11,5.90
-0.70,-1.30,1.20,-127.84,-8.89,-9.10
-0.70,-1.30,1.20,124.16,1.11,10.90
-0.70,-1.30,1.20,160.16,1.11,0.90
-0.70,-1.30,1.20,-127.84,-15.89,10.90
-0.70,-1.30,1.20,88.16,-8.89,-4.10
-0.70,-1.30,1.20,16.16,8.11,-9.10
-0.70,-1.30,1.20,-163.84,-15.89,-4.10
-0.70,-1.30,1.20,124.16,8.11,-4.10
-0.70,-1.30,1.20,160.16,-8.89,-9.10
-0.70,-1.30,1.20,124.16,1.11,5.90
-0.70,-1.30,1.20,124.16,1.11,-14.10
-0.70,-1.30,1.20,-91.84,15.11,-4.10
-0.70,-1.30,1.20,16.16,-15.89,10.90
-0.70,-1.30,1.20,88.16,15.11,-9.10
-0.70,-1.30,1.20,160.16,1.11,5.90
-0.70,-1.30,1.20,52.16,8.11,0.90
-0.70,-1.30,1.20,160.16,-15.89,-9.10
-0.70,-1.30,1.20,-55.84,15.11,-4.10
-0.70,-1.30,1.20,-163.84,-8.89,10.90
-0.70,-1.30,1.20,-91.84,15.11,-9.10
-0.70,-1.30,1.20,-19.84,15.11,10.90
-0.70,-1.30,1.20,-163.84,1.11,-9.10
-0.70,-1.30,1.20,-91.84,8.11,10.90
-0.70,-1.30,1.20,88.16,-8.89,-14.10
-0.70,-1.30,1.20,-91.84,-8.89,5.90
-0.70,-1.30,1.20,-19.84,15.11,5.90
-0.70,-1.30,1.20,16.16,8.11,5.90
-0.70,-1.30,1.20,-19.84,8.11,10.90
-0.70,-1.30,1.20,124.16,1.11,0.90
-0.70,-1.30,1.20,-55.84,15.11,0.90
-0.70,-1.30,1.20,-91.84,-8.89,-14.10
-0.70,-1.30,1.20,-91.84,8.11,-9.10
-0.70,-1.30,1.20,-19.84,15.11,-4.10
-0.70,-1.30,1.20,124.16,-15.89,5.90
-0.70,-1.30,1.20,52.16,-8.89,5.90
-0.70,-1.30,1.20,-55.84,-8.89,5.90
-0.70,-1.30,1.20,160.16,8.11,-4.10
-0.70,-1.30,1.20,-163.84,-15.89,10.90
-0.70,-1.30,1.20,124.16,15.11,5.90
-0.70,-1.30,1.20,16.16,15.11,-4.10
-0.70,-1.30,1.20,-55.84,1.11,-14.10
-0.70,-1.30,1.20,52.16,-8.89,0.90
-0.70,-1.30,1.20,-91.84,-15.89,10.90
-0.70,-1.30,1.20,-55.84,1.11,10.90
-0.70,-1.30,1.20,-127.84,-8.89,0.90
-0.70,-1.30,1.20,-127.84,-15.89,-14.10
-0.70,-1.30,1.20,-55.84,1.11,0.90
-0.70,-1.30,1.20,-55.84,15.11,-9.10
-0.70,-1.30,1.20,-163.84,-8.89,-4.10
-0.70,-1.30,1.20,88.16,1.11,0.90
-0.70,-1.30,1.20,124.16,-8.89,5.90
-0.70,-1.30,1.20,-163.84,1.11,5.90
-0.70,-1.30,1.20,-127.84,8.11,-14.10
-0.70,-1.30,1.20,88.16,-8.89,10.90
-0.70,-1.30,1.20,-127.84,1.11,0.90
-0.70,-1.30,1.20,-127.84,8.11,-9.10
-0.70,-1.30,1.20,-91.84,-8.89,-9.10
-0.70,-1.30,1.20,52.16,-15.89,-14.10
-0.70,-1.30,1.20,16.16,-15.89,-9.10
-0.70,-1.30,1.20,-163.84,15.11,0.90
-0.70,-1.30,1.20,52.16,8.11,-14.10
-0.70,-1.30,1.20,124.16,8.11,10.90
-0.70,-1.30,1.20,52.16,8.11,-4.10
-0.70,-1.30,1.20,-163.84,8.11,-14.10
-0.70,-1.30,1.20,-55.84,-15.89,10.90
-0.70,-1.30,1.20,124.16,15.11,0.90
-0.70,-1.30,1.20,-91.84,1.11,5.90
-0.70,-1.30,1.20,16.16,-8.89,5.90
-0.70,-1.30,1.20,124.16,8.11,-9.10
-0.70,-1.30,1.20,-91.84,1.11,10.90
-0.70,-1.30,1.20,16.16,1.11,-14.10
-0.70,-1.30,1.20,16.16,15.11,10.90
-0.70,-1.30,1.20,160.16,1.11,-9.10
-0.70,-1.30,1.20,160.16,8.11,0.90
-0.70,-1.30,1.20,88.16,-8.89,0.90
-0.70,-1.30,1.20,-163.84,-15.89,5.90
-0.70,-1.30,1.20,-91.84,1.11,-14.10
-0.70,-1.30,1.20,-55.84,8.11,5.90
-0.70,-1.30,1.20,-163.84,8.11,10.90
-0.70,-1.30,1.20,-163.84,15.11,-14.10
-0.70,-1.30,1.20,-127.84,1.11,-9.10
-0.70,-1.30,1.20,52.16,8.11,5.90
-0.70,-1.30,1.20,-91.84,-15.89,5.90
-0.70,-1.30,1.20,-19.84,8.11,-4.10
-0.70,-1.30,1.20,-163.84,8.11,5.90
-0.70,-1.30,1.20,-19.84,8.11,0.90
-0.70,-1.30,1.20,124.16,15.11,-14.10
